"Number of Hashes","Size/n","False positive"
"1","100","26.0"
"1","200","15.4375"
"1","300","3.4375"
"1","400","2.125"
"1","500","2.9375"
"1","600","0.125"
"1","700","0.0"
"1","800","0.0"
"1","900","0.125"
"1","1000","1.1875"
"2","100","16.6875"
"2","200","6.6875"
"2","300","2.5"
"2","400","1.125"
"2","500","0.25"
"2","600","0.875"
"2","700","0.3125"
"2","800","0.8125"
"2","900","0.375"
"2","1000","0.125"
"3","100","18.25"
"3","200","7.5625"
"3","300","1.1875"
"3","400","1.0"
"3","500","0.25"
"3","600","0.25"
"3","700","0.0625"
"3","800","0.25"
"3","900","0.1875"
"3","1000","0.0"
"4","100","31.9375"
"4","200","7.5625"
"4","300","3.875"
"4","400","1.0"
"4","500","0.6875"
"4","600","0.25"
"4","700","0.1875"
"4","800","0.25"
"4","900","0.1875"
"4","1000","0.0"
"5","100","28.375"
"5","200","3.5625"
"5","300","1.4375"
"5","400","0.3125"
"5","500","0.3125"
"5","600","0.0625"
"5","700","0.0625"
"5","800","0.125"
"5","900","0.0"
"5","1000","0.0"
"6","100","22.1875"
"6","200","2.4375"
"6","300","1.25"
"6","400","0.3125"
"6","500","0.1875"
"6","600","0.0"
"6","700","0.0625"
"6","800","0.0"
"6","900","0.0"
"6","1000","0.0"
"7","100","37.0"
"7","200","2.4375"
"7","300","1.75"
"7","400","0.25"
"7","500","0.1875"
"7","600","0.0"
"7","700","0.0625"
"7","800","0.0"
"7","900","0.0"
"7","1000","0.0"
"8","100","30.5"
"8","200","2.4375"
"8","300","1.375"
"8","400","0.25"
"8","500","0.125"
"8","600","0.125"
"8","700","0.0625"
"8","800","0.0"
"8","900","0.0"
"8","1000","0.0"
"9","100","26.5625"
"9","200","2.375"
"9","300","0.9375"
"9","400","0.3125"
"9","500","0.0"
"9","600","0.125"
"9","700","0.0"
"9","800","0.0"
"9","900","0.0"
"9","1000","0.0"
"10","100","28.5625"
"10","200","3.75"
"10","300","0.8125"
"10","400","0.375"
"10","500","0.125"
"10","600","0.125"
"10","700","0.125"
"10","800","0.0"
"10","900","0.0"
"10","1000","0.0"
